CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
50001,1,0.06557377049180328,1,3,6.0,4,0,0.6000000000000001,0.4000000000000001,2,2,2,9,1,0.0,0.0625,0.0,0.10869565217391304,0.49210744945998336
50002,1,0.14754098360655737,2,1,8.0,6,1,0.6000000000000001,0.6000000000000001,3,3,2,7,1,0.2666666666666667,0.0,0.0,0.0,0.37201144650604634
50003,1,0.14754098360655737,2,1,30.0,4,1,0.4,0.6000000000000001,3,3,2,6,1,0.20000000000000007,0.0,0.0,0.06521739130434782,0.370103695498323
50004,1,0.0,2,3,15.0,4,1,0.4,0.6000000000000001,2,5,2,8,0,0.7999999999999999,0.0,0.0,0.06521739130434782,0.41253577033139477
50005,1,0.0,2,1,12.0,0,1,0.6000000000000001,0.4000000000000001,3,5,2,3,0,0.0,0.0625,0.0,0.06521739130434782,0.39878150096926057
50006,1,0.0,0,1,22.0,4,0,0.6000000000000001,0.8,4,5,2,2,1,0.7333333333333333,0.25,0.33333333333333337,0.15217391304347827,0.42829010123388406
50007,1,0.14754098360655737,2,3,11.0,2,1,0.4,0.4000000000000001,2,2,0,4,0,0.20000000000000007,0.0,0.0,0.0,0.37188836579587065
50008,1,0.14754098360655737,2,1,6.0,0,1,0.6000000000000001,0.4000000000000001,3,2,0,3,1,0.33333333333333337,0.125,0.06666666666666667,0.0,0.378257792547463
50009,1,0.21311475409836067,2,3,9.0,5,1,0.6000000000000001,0.6000000000000001,3,3,0,2,1,0.20000000000000007,0.0,0.0,0.043478260869565216,0.39025816178959355
50010,1,0.14754098360655737,2,1,31.0,4,1,0.4,0.8,3,3,2,2,0,0.06666666666666676,0.0625,0.0,0.021739130434782608,0.378257792547463
50011,1,0.06557377049180328,1,1,18.0,2,0,0.4,0.4000000000000001,5,3,0,2,0,0.2666666666666667,0.5625,0.9333333333333333,0.17391304347826086,0.9091048955352471
50012,1,0.18032786885245902,1,1,6.0,4,1,0.6000000000000001,0.6000000000000001,0,3,2,10,1,0.13333333333333341,0.0,0.0,0.0,0.4732761008031016
50013,1,0.0,2,1,11.0,1,1,0.4,0.4000000000000001,3,3,2,2,1,0.13333333333333341,0.125,0.06666666666666667,0.043478260869565216,0.4135819563678882
50014,1,0.0,2,1,15.0,0,1,0.6000000000000001,0.6000000000000001,3,3,0,1,1,0.4,0.0,0.0,0.0,0.4119511369580602
50015,1,0.14754098360655737,1,3,15.0,3,1,0.6000000000000001,0.6000000000000001,0,2,2,2,0,0.33333333333333337,0.0,0.2,0.15217391304347827,0.6036801132342533
50016,1,0.14754098360655737,2,2,12.0,6,1,0.6000000000000001,0.4000000000000001,3,5,1,5,1,0.7333333333333333,0.0625,0.0,0.043478260869565216,0.37148835348779957
50017,1,0.0,0,1,12.0,4,0,0.6000000000000001,0.6000000000000001,3,2,2,2,1,0.4666666666666667,0.0625,0.0,0.0,0.3977353149327671
50018,1,0.0,1,3,11.0,5,1,0.4,0.6000000000000001,2,3,2,2,1,0.0,0.0625,0.0,0.06521739130434782,0.48444567525154614
50019,1,0.0,0,1,13.0,4,1,0.6000000000000001,0.8,2,3,2,2,1,0.8666666666666668,0.0625,0.0,0.13043478260869565,0.4945998338410413
50020,1,0.3114754098360656,1,1,20.0,4,0,0.6000000000000001,0.4000000000000001,4,4,0,10,1,0.4666666666666667,0.0625,0.2,0.06521739130434782,0.46041416658974116
50021,1,0.0,1,3,12.0,4,1,0.6000000000000001,0.8,2,3,0,5,1,0.4666666666666667,0.375,0.4,0.15217391304347827,0.4976153112403458
50022,1,0.3278688524590164,1,1,29.0,3,0,0.6000000000000001,0.4000000000000001,0,2,0,2,0,0.06666666666666676,0.6875,0.9333333333333333,0.13043478260869565,0.625003846272193
50023,1,0.14754098360655737,1,3,28.0,5,1,0.4,0.4000000000000001,4,3,2,2,1,0.5333333333333333,0.0,0.0,0.0,0.3592418228253177
50024,1,0.0,2,3,26.0,4,0,0.6000000000000001,0.8,2,3,0,4,1,0.0,0.0625,0.06666666666666667,0.043478260869565216,0.4479830148619957
50025,1,0.22950819672131148,0,1,14.0,4,1,0.4,0.8,0,2,2,3,0,0.2666666666666667,0.0,0.0,0.06521739130434782,0.6354041662820394
50026,1,0.0,2,1,15.0,3,0,0.4,0.4000000000000001,4,5,2,8,0,0.7333333333333333,0.0625,0.0,0.08695652173913043,0.43693652112372683
50027,0,0.13114754098360656,1,3,6.0,5,1,0.6000000000000001,0.4000000000000001,0,4,0,2,0,0.13333333333333341,0.0625,0.0,0.13043478260869565,0.5321702206221729
50028,0,0.14754098360655737,2,3,12.0,5,1,0.4,0.4000000000000001,2,3,0,3,1,0.6,0.0,0.2,0.10869565217391304,0.378657804855534
50029,0,0.29508196721311475,2,1,14.0,4,1,0.4,0.4000000000000001,2,4,1,9,0,0.4666666666666667,0.0625,0.0,0.32608695652173914,0.3799501523123788
50030,0,0.0819672131147541,0,3,14.0,5,0,0.4,0.4000000000000001,0,2,2,2,0,0.20000000000000007,0.125,0.13333333333333336,0.15217391304347827,0.5845718329794762
50031,0,0.03278688524590164,0,1,6.0,1,1,0.4,0.4000000000000001,2,3,0,2,0,0.13333333333333341,0.0,0.0,0.19565217391304346,0.44059817225145387
50032,0,0.0,1,1,13.0,3,1,0.4,0.6000000000000001,2,3,0,3,0,0.4,0.0625,0.0,0.0,0.4963845041385888
50033,0,0.49180327868852464,2,1,15.0,0,0,0.6000000000000001,0.6000000000000001,3,4,0,5,1,0.6,0.0625,0.0,0.0,0.4106587895012154
50034,0,0.21311475409836067,1,3,10.0,5,1,0.6000000000000001,0.6000000000000001,0,2,0,8,0,0.0,0.125,0.06666666666666667,0.2391304347826087,0.6417120526785439
50035,0,0.14754098360655737,0,3,8.0,5,0,0.6000000000000001,0.4000000000000001,3,3,0,7,0,0.4666666666666667,0.0625,0.0,0.043478260869565216,0.37635004153973967
50036,0,0.0,2,1,14.0,0,1,0.6000000000000001,0.4000000000000001,3,2,0,2,0,0.8666666666666668,0.0,0.06666666666666667,0.043478260869565216,0.3791808978737807
50037,0,0.14754098360655737,0,1,15.0,0,1,0.4,0.4000000000000001,3,4,1,7,0,0.4666666666666667,0.0,0.06666666666666667,0.043478260869565216,0.3699806147881473
50038,0,0.01639344262295082,2,1,27.0,0,1,0.6000000000000001,0.4000000000000001,3,2,0,2,0,0.0,0.0,0.0,0.043478260869565216,0.3911812671159112
50039,0,0.49180327868852464,1,1,30.0,4,1,0.4,0.2,0,2,1,4,1,0.33333333333333337,0.0625,0.0,0.08695652173913043,0.5981414812763469
50040,0,0.0,0,1,14.0,0,1,0.6000000000000001,0.6000000000000001,3,3,1,2,1,0.2666666666666667,0.0,0.0,0.021739130434782608,0.38665805101695433
50041,0,0.3770491803278689,1,1,17.0,4,0,0.4,0.4000000000000001,5,4,2,4,0,0.2666666666666667,0.125,0.2,0.08695652173913043,0.9208283331794823
50042,0,0.22950819672131148,2,1,14.0,4,1,0.4,0.4000000000000001,3,3,1,5,0,0.06666666666666676,0.0625,0.0,0.17391304347826086,0.383119480599403
50043,0,0.04918032786885246,1,3,11.0,4,0,0.4,0.4000000000000001,0,2,0,3,0,0.06666666666666676,0.125,0.4,0.08695652173913043,0.5975260777254684
50044,0,0.18032786885245902,1,3,6.0,4,0,0.4,0.6000000000000001,2,2,2,5,0,0.7333333333333333,0.0625,0.0,0.021739130434782608,0.5749715375857719
50045,0,0.0819672131147541,2,1,12.0,4,1,0.6000000000000001,0.4000000000000001,3,3,2,4,0,0.6,0.0,0.0,0.08695652173913043,0.4011815748176867
50046,0,0.0,2,1,23.0,1,1,0.6000000000000001,0.4000000000000001,3,4,0,1,1,0.33333333333333337,0.0625,0.0,0.021739130434782608,0.4017969783685652
50047,1,0.0,0,3,14.0,1,0,0.6000000000000001,0.8,3,5,2,1,0,0.6666666666666666,0.0625,0.0,0.0,0.37924243822886855
50048,0,0.14754098360655737,0,1,9.0,0,1,0.2,0.4000000000000001,3,4,2,5,0,0.06666666666666676,0.25,0.4,0.043478260869565216,0.37194990615095846
50049,0,0.04918032786885246,0,1,15.0,0,1,0.6000000000000001,0.4000000000000001,2,5,1,2,0,0.0,0.0,0.33333333333333337,0.21739130434782608,0.4022277608541801
50050,0,0.29508196721311475,1,3,10.0,4,0,0.2,0.4000000000000001,2,5,1,5,1,0.0,0.0,0.0,0.06521739130434782,0.46173728422412996
50051,0,0.4754098360655738,2,1,14.0,4,0,0.6000000000000001,0.4000000000000001,4,5,1,5,1,0.4666666666666667,0.0625,0.06666666666666667,0.043478260869565216,0.43869042124373053
50052,0,0.09836065573770492,2,1,14.0,4,1,0.4,0.4000000000000001,3,2,2,1,0,0.20000000000000007,0.0,0.0,0.043478260869565216,0.38462721929905536
50053,1,0.0,1,1,8.0,4,1,0.4,0.6000000000000001,4,2,2,2,0,0.7333333333333333,0.0,0.0,0.0,0.341610511092649
50054,0,0.3114754098360656,1,3,6.0,5,0,0.6000000000000001,0.4000000000000001,0,5,1,2,0,0.9333333333333335,0.25,0.9333333333333333,0.15217391304347827,0.6293424413058863
50055,0,0.14754098360655737,2,1,15.0,4,0,0.6000000000000001,0.4000000000000001,3,2,2,2,0,0.06666666666666676,0.0625,0.06666666666666667,0.021739130434782608,0.3781039416597433
50056,0,0.06557377049180328,2,1,18.0,3,0,0.6000000000000001,0.4000000000000001,4,2,0,9,1,0.7999999999999999,0.0625,0.0,0.043478260869565216,0.4285978030093233
50057,0,0.14754098360655737,2,1,33.0,0,0,0.6000000000000001,0.4000000000000001,3,4,2,3,0,0.2666666666666667,0.0625,0.0,0.043478260869565216,0.37881165574325365
50058,1,0.06557377049180328,2,3,26.0,5,0,0.6000000000000001,0.4000000000000001,3,4,2,2,1,0.7333333333333333,0.0,0.0,0.043478260869565216,0.404320132927167
50059,0,0.3770491803278689,2,1,6.0,3,1,0.4,0.6000000000000001,4,3,0,3,0,0.2666666666666667,0.0,0.0,0.043478260869565216,0.4212437305763254
50060,0,0.42622950819672134,2,1,19.0,3,0,0.4,0.2,2,5,1,2,0,0.0,0.0625,0.0,0.06521739130434782,0.444629065509708
50061,0,0.09836065573770492,2,1,20.0,0,0,0.6000000000000001,0.4000000000000001,3,4,0,2,0,0.13333333333333341,0.0,0.0,0.13043478260869565,0.3925043847503
50062,0,0.21311475409836067,1,1,10.0,3,0,0.4,0.4000000000000001,5,3,0,2,0,0.20000000000000007,0.0625,0.5333333333333333,0.19565217391304346,0.8933505646327579
50063,0,0.45901639344262296,1,1,20.0,3,1,0.6000000000000001,0.2,5,4,2,9,0,0.0,0.0625,0.06666666666666667,0.32608695652173914,0.8837810394165975
50064,0,0.11475409836065574,0,1,8.0,4,1,0.4,0.6000000000000001,2,3,0,2,0,0.4,0.0,0.0,0.19565217391304346,0.6014646604510908
50065,0,0.39344262295081966,1,1,9.0,3,0,0.6000000000000001,0.4000000000000001,1,4,2,4,0,0.4666666666666667,0.0,0.06666666666666667,0.0,0.7302993938275023
50066,0,0.4098360655737705,1,1,6.0,4,1,0.6000000000000001,0.6000000000000001,5,3,0,1,0,0.2666666666666667,0.0625,0.6666666666666666,0.19565217391304346,0.9230745561401889
50067,0,0.14754098360655737,2,1,15.0,0,0,0.4,0.4000000000000001,3,4,2,2,0,0.33333333333333337,0.0625,0.0,0.06521739130434782,0.377827010061848
50068,1,0.0,1,1,29.0,4,1,0.4,0.6000000000000001,2,3,0,4,1,0.13333333333333341,0.0625,0.0,0.021739130434782608,0.4897381457891012
50069,0,0.14754098360655737,0,1,13.0,0,1,0.4,0.2,3,2,1,5,0,0.20000000000000007,0.0,0.06666666666666667,0.043478260869565216,0.37198067632850235
50070,0,0.29508196721311475,0,1,8.0,3,1,0.6000000000000001,0.6000000000000001,1,2,0,10,0,0.7999999999999999,0.0625,0.6666666666666666,0.17391304347826086,0.8243945967568233
50071,0,0.1639344262295082,2,1,27.0,4,1,0.6000000000000001,0.2,4,5,0,2,1,0.06666666666666676,0.0,0.0,0.15217391304347827,0.41736668820579087
50072,0,0.13114754098360656,0,1,8.0,3,0,0.4,0.4000000000000001,2,4,2,6,0,0.0,0.0625,0.0,0.043478260869565216,0.44385981107110983
50073,0,0.24590163934426232,0,1,27.0,3,0,0.4,0.4000000000000001,2,3,1,3,0,0.33333333333333337,0.0,0.0,0.043478260869565216,0.4697067602080064
50074,0,0.18032786885245902,1,1,8.0,4,1,0.4,0.4000000000000001,2,3,0,10,0,0.20000000000000007,0.0,0.0,0.0,0.5093387488845811
50075,0,0.18032786885245902,1,1,35.0,1,1,0.4,0.4000000000000001,2,2,0,4,0,0.4666666666666667,0.0,0.0,0.15217391304347827,0.5003538570417552
50076,0,0.0,0,1,6.0,1,1,0.4,0.6000000000000001,2,5,0,6,0,0.5333333333333333,0.0,0.06666666666666667,0.0,0.4399519985230314
